,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
457,ASIANPAINT,EQ,987.0,996.5,985.1,994.9,995.0,992.05,808571,801573469.65,2016-06-13,14652,INE021A01026
458,ASIANPAINT,EQ,1180.0,1184.15,1163.25,1169.3,1171.2,1174.5,1201677,1406467414.2,2016-10-19,37338,INE021A01026
459,ASIANPAINT,EQ,1120.1,1126.5,1102.8,1105.9,1105.2,1118.85,554850,616732961.95,2016-08-25,29180,INE021A01026
460,ASIANPAINT,EQ,1115.0,1148.0,1110.0,1146.2,1145.2,1111.85,674826,764487811.05,2016-08-30,29140,INE021A01026
461,ASIANPAINT,EQ,911.95,911.95,898.0,899.9,901.4,903.0,1041676,940549930.35,2016-12-16,40866,INE021A01026
462,ASIANPAINT,EQ,956.0,963.0,950.75,956.0,955.15,956.8,972841,931016942.4,2016-05-20,43907,INE021A01026
463,ASIANPAINT,EQ,867.9,868.4,826.0,845.55,846.15,850.3,2443365,2064158618.3,2016-01-19,63046,INE021A01026
464,ASIANPAINT,EQ,864.0,869.0,855.05,858.25,857.05,863.3,449770,386919073.25,2016-04-07,23157,INE021A01026
465,ASIANPAINT,EQ,861.8,870.0,859.5,866.9,865.9,860.0,433486,375354777.25,2016-04-12,26388,INE021A01026
466,ASIANPAINT,EQ,936.0,936.5,902.0,904.85,906.3,939.15,2139914,1960099316.2,2016-12-02,58064,INE021A01026
467,ASIANPAINT,EQ,1157.0,1173.9,1149.0,1157.9,1160.0,1146.2,1668417,1935467154.6,2016-08-31,61859,INE021A01026
468,ASIANPAINT,EQ,1130.0,1130.2,1115.6,1118.85,1120.55,1126.25,417969,468874968.35,2016-08-24,19894,INE021A01026
